ID,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Age,lifetime_so_far_days,Promotion_#_campaign_accepted,#_children_at_home,Total_$_spend_last_2_years,Total_#_purchases
6864,Master,Alone,10979.0,34,8.0,4.0,10.0,2.0,2.0,4.0,2,3,0,3,5,0,28,1300,0,0,30.0,8
3033,Master,Engaged,38620.0,56,112.0,17.0,44.0,34.0,22.0,89.0,1,2,5,3,3,0,54,1498,0,0,318.0,11
5710,Graduation,Engaged,40548.0,31,110.0,0.0,5.0,2.0,0.0,3.0,2,2,1,4,5,0,47,1889,4,1,120.0,9
7373,PhD,Alone,46610.0,8,96.0,12.0,96.0,33.0,22.0,43.0,6,4,1,6,6,0,65,1870,6,2,302.0,17
8755,Master,Engaged,68657.0,4,482.0,34.0,471.0,119.0,68.0,22.0,1,3,5,9,7,0,71,1756,0,0,1196.0,18
10738,Master,Alone,49389.0,55,40.0,0.0,19.0,2.0,1.0,3.0,1,2,0,3,7,0,66,1566,0,2,65.0,6
4339,PhD,Engaged,67353.0,37,702.0,17.0,151.0,0.0,8.0,35.0,5,5,6,12,2,0,47,1442,0,1,913.0,28
10755,2n_Cycle,Engaged,23718.0,76,6.0,3.0,14.0,15.0,7.0,36.0,3,3,1,2,7,0,41,1767,0,1,81.0,9
8595,Graduation,Alone,42429.0,99,55.0,0.0,6.0,2.0,0.0,4.0,2,1,1,3,5,0,44,1136,0,1,67.0,7
2968,PhD,Alone,48948.0,53,437.0,8.0,206.0,160.0,49.0,42.0,2,7,10,5,6,0,74,1805,3,0,902.0,24
8601,Graduation,Engaged,80011.0,3,421.0,76.0,536.0,82.0,178.0,102.0,2,8,6,5,4,0,37,1688,0,1,1395.0,21
503,Master,Engaged,20559.0,88,13.0,1.0,29.0,3.0,0.0,7.0,2,2,0,3,8,0,32,1470,0,1,53.0,7
8430,Graduation,Engaged,21994.0,4,9.0,0.0,6.0,3.0,1.0,3.0,1,0,0,3,5,0,60,1814,0,1,22.0,4
7281,PhD,Alone,55336.0,80,81.0,11.0,50.0,3.0,2.0,39.0,1,1,3,4,2,0,58,1676,0,0,186.0,9
2139,Master,Engaged,7500.0,19,3.0,1.0,10.0,3.0,2.0,12.0,3,2,0,3,5,0,42,1766,0,1,31.0,8
1371,Graduation,Alone,79941.0,72,123.0,164.0,266.0,227.0,30.0,174.0,1,2,4,9,1,0,41,1263,0,0,984.0,16
9909,2n_Cycle,Engaged,7500.0,24,3.0,18.0,14.0,15.0,22.0,50.0,3,3,1,3,9,0,21,1918,6,0,122.0,10
7286,Graduation,Engaged,41728.0,92,13.0,6.0,15.0,3.0,5.0,13.0,1,2,0,2,10,0,49,1663,0,1,55.0,5
7244,Graduation,Alone,52531.0,96,48.0,5.0,48.0,6.0,10.0,7.0,3,2,1,4,6,0,66,1441,0,3,124.0,10
6566,PhD,Engaged,72550.0,39,826.0,50.0,317.0,50.0,38.0,38.0,9,5,2,12,8,0,63,1949,0,2,1319.0,28
8614,Graduation,Alone,65486.0,29,245.0,19.0,125.0,37.0,67.0,14.0,1,4,2,10,2,0,60,1103,0,1,507.0,17
4114,Master,Engaged,79143.0,2,650.0,37.0,780.0,27.0,167.0,32.0,1,6,9,13,3,0,53,1860,0,0,1693.0,29
1331,Graduation,Alone,35790.0,54,12.0,6.0,20.0,30.0,1.0,3.0,2,2,0,3,7,0,40,1775,0,1,72.0,7
2225,Graduation,Alone,82582.0,54,510.0,120.0,550.0,156.0,40.0,241.0,1,4,9,7,1,0,40,1255,1,0,1617.0,21
9381,Graduation,Engaged,66373.0,57,328.0,9.0,124.0,12.0,24.0,109.0,7,4,2,10,3,0,39,1467,0,2,606.0,23
6260,Master,Engaged,82384.0,55,984.0,51.0,432.0,180.0,120.0,190.0,1,3,10,13,1,0,62,1849,5,0,1957.0,27
10383,Graduation,Alone,70287.0,30,295.0,35.0,482.0,121.0,120.0,40.0,1,5,5,10,3,0,51,1772,6,0,1093.0,21
7437,Graduation,Alone,27938.0,31,13.0,0.0,8.0,2.0,1.0,5.0,1,1,0,4,3,0,29,1324,0,1,29.0,6
8557,Graduation,Alone,52531.0,57,11.0,3.0,22.0,2.0,2.0,6.0,2,2,0,3,6,0,35,1639,0,1,46.0,7
8375,PhD,Engaged,55954.0,63,447.0,0.0,28.0,0.0,0.0,43.0,3,8,2,6,7,0,49,1380,0,1,518.0,19
6853,Master,Alone,75777.0,12,712.0,26.0,538.0,69.0,13.0,80.0,1,3,6,11,1,0,35,1710,4,0,1438.0,21
3076,Graduation,Engaged,66653.0,18,452.0,18.0,102.0,16.0,18.0,6.0,4,4,2,12,3,0,42,1982,0,2,612.0,22
1012,Graduation,Alone,61823.0,26,523.0,7.0,134.0,37.0,14.0,169.0,4,8,2,10,7,0,65,1758,0,1,884.0,24
6518,PhD,Alone,67680.0,8,546.0,0.0,48.0,0.0,6.0,6.0,1,7,3,8,5,0,66,1497,0,1,606.0,19
4137,Graduation,Engaged,70666.0,29,398.0,40.0,367.0,119.0,122.0,30.0,1,7,4,4,4,0,69,1644,0,0,1076.0,16
8082,Graduation,Engaged,25721.0,75,1.0,3.0,6.0,3.0,6.0,15.0,1,1,1,2,7,0,46,1666,6,1,34.0,5
1386,Graduation,Engaged,32474.0,0,10.0,0.0,1.0,0.0,0.0,0.0,1,1,0,2,7,0,50,1133,0,2,11.0,4
9369,2n_Cycle,Alone,88194.0,19,688.0,14.0,309.0,201.0,24.0,38.0,1,11,10,10,5,0,38,1364,1,1,1274.0,32
4477,Graduation,Engaged,69096.0,4,247.0,49.0,159.0,7.0,82.0,109.0,1,5,2,10,4,0,59,1537,0,1,653.0,18
1357,Graduation,Engaged,74854.0,90,856.0,59.0,487.0,58.0,29.0,73.0,7,2,5,5,5,0,47,1591,0,3,1562.0,19
1402,Master,Engaged,66991.0,1,496.0,36.0,460.0,189.0,60.0,12.0,3,4,8,6,3,0,63,1859,0,0,1253.0,21
10629,2n_Cycle,Engaged,46891.0,25,25.0,3.0,43.0,17.0,4.0,17.0,3,3,0,3,8,0,44,1915,0,1,109.0,9
6312,Graduation,Engaged,65031.0,29,258.0,107.0,291.0,84.0,37.0,86.0,4,10,3,13,7,0,58,1731,0,1,863.0,30
8132,PhD,Engaged,60631.0,88,565.0,6.0,65.0,0.0,6.0,19.0,5,9,2,8,7,0,42,1683,4,2,661.0,24
1050,Graduation,Engaged,28332.0,58,14.0,10.0,13.0,4.0,15.0,9.0,1,2,1,4,2,0,65,1322,0,0,65.0,8
5846,Graduation,Alone,40246.0,68,2.0,1.0,6.0,2.0,1.0,1.0,1,1,0,2,6,0,40,1819,0,1,13.0,4
1859,Master,Engaged,75251.0,34,721.0,111.0,925.0,97.0,18.0,18.0,1,7,6,5,5,0,45,1933,6,0,1890.0,19
7503,Graduation,Alone,75825.0,40,1032.0,105.0,779.0,137.0,105.0,51.0,0,5,8,9,4,0,41,1828,3,0,2209.0,22
10401,2n_Cycle,Engaged,26326.0,12,1.0,0.0,5.0,0.0,3.0,9.0,1,0,0,3,3,1,41,1708,0,0,18.0,4
1618,Graduation,Engaged,56046.0,9,577.0,0.0,64.0,0.0,0.0,51.0,2,10,1,8,8,0,52,1775,3,0,692.0,21
3332,Graduation,Alone,29760.0,87,64.0,4.0,68.0,7.0,5.0,17.0,4,3,1,4,8,0,32,1931,0,1,165.0,12
2261,Graduation,Engaged,26304.0,5,4.0,1.0,5.0,2.0,0.0,4.0,1,1,0,2,7,0,48,1633,0,1,16.0,4
5346,2n_Cycle,Engaged,23559.0,87,25.0,5.0,19.0,7.0,0.0,23.0,3,3,0,3,7,0,44,1741,0,1,79.0,9
4119,Master,Engaged,38620.0,56,112.0,17.0,44.0,34.0,22.0,89.0,1,2,5,3,3,0,54,1498,0,0,318.0,11
535,Graduation,Alone,81361.0,18,163.0,23.0,424.0,27.0,65.0,76.0,1,3,10,13,1,0,30,1386,0,0,778.0,27
5268,Graduation,Engaged,29440.0,95,17.0,8.0,14.0,10.0,4.0,3.0,2,1,0,4,7,0,57,1495,0,2,56.0,7
273,Master,Engaged,36138.0,48,130.0,0.0,16.0,0.0,0.0,5.0,5,3,1,4,7,0,47,1610,4,2,151.0,13
4452,Graduation,Alone,50388.0,3,292.0,6.0,37.0,0.0,3.0,34.0,4,6,1,6,7,0,60,1294,1,1,372.0,17
8504,Graduation,Engaged,79593.0,70,350.0,60.0,568.0,110.0,133.0,145.0,1,5,6,7,2,0,44,1103,5,0,1366.0,19
771,Graduation,Engaged,54178.0,79,135.0,9.0,39.0,4.0,0.0,7.0,1,2,2,5,2,0,50,1421,0,1,194.0,10
8996,PhD,Engaged,55336.0,4,230.0,42.0,192.0,49.0,37.0,53.0,12,7,2,8,9,0,60,1849,0,3,603.0,29
9235,Graduation,Alone,52531.0,45,7.0,0.0,8.0,2.0,0.0,1.0,1,1,0,2,7,0,60,1295,0,2,18.0,4
5798,Master,Engaged,51044.0,87,445.0,37.0,359.0,98.0,28.0,18.0,1,2,4,8,1,0,44,1480,0,0,985.0,15
11178,Master,Alone,42394.0,69,15.0,2.0,10.0,0.0,1.0,4.0,1,1,0,3,7,0,45,1360,0,1,32.0,5
2230,PhD,Engaged,23626.0,84,27.0,2.0,14.0,0.0,0.0,0.0,3,3,1,3,5,0,47,1298,0,1,43.0,10
7516,Graduation,Engaged,30096.0,30,5.0,3.0,11.0,12.0,5.0,9.0,1,2,0,3,6,0,34,1300,0,1,45.0,6
7247,Graduation,Alone,47916.0,72,505.0,0.0,26.0,0.0,0.0,75.0,5,7,4,6,6,0,57,1846,4,1,606.0,22
11100,Graduation,Alone,51813.0,37,51.0,2.0,7.0,0.0,1.0,2.0,2,2,0,3,7,0,45,1499,0,2,63.0,7
4646,2n_Cycle,Engaged,78497.0,44,207.0,26.0,447.0,75.0,0.0,223.0,1,5,7,12,2,0,66,1795,1,0,978.0,25
3037,PhD,Engaged,50150.0,32,135.0,46.0,92.0,65.0,61.0,11.0,2,5,2,7,5,0,34,1636,0,0,410.0,16
1473,2n_Cycle,Alone,47823.0,0,53.0,1.0,5.0,2.0,1.0,10.0,2,2,0,3,8,0,57,1603,0,1,72.0,7
1016,PhD,Alone,34554.0,43,41.0,1.0,6.0,2.0,0.0,5.0,2,2,0,3,6,0,58,1353,0,1,55.0,7
4518,Graduation,Engaged,85693.0,59,386.0,172.0,183.0,185.0,132.0,111.0,2,9,5,11,5,0,38,1697,0,1,1169.0,27
9370,PhD,Engaged,65846.0,68,562.0,81.0,276.0,80.0,40.0,81.0,1,6,3,6,4,0,72,1670,0,0,1120.0,16
8908,Graduation,Engaged,87195.0,35,217.0,76.0,690.0,50.0,26.0,38.0,1,3,11,5,1,0,58,1225,6,0,1097.0,20
8373,Basic,Engaged,24594.0,94,1.0,3.0,6.0,10.0,0.0,9.0,1,1,0,3,5,0,38,1522,0,1,29.0,5
7533,Graduation,Engaged,49096.0,15,144.0,1.0,32.0,2.0,1.0,7.0,4,4,1,4,7,0,53,1540,0,2,187.0,13
2683,Graduation,Engaged,52413.0,56,295.0,106.0,271.0,75.0,98.0,65.0,4,6,4,12,6,0,48,1774,0,2,910.0,26
3629,Graduation,Alone,38557.0,17,76.0,3.0,31.0,4.0,4.0,27.0,2,3,1,3,7,0,39,1819,0,1,145.0,9
10991,Master,Engaged,89058.0,18,454.0,194.0,106.0,31.0,22.0,43.0,1,5,4,4,2,0,57,1979,0,0,850.0,14
5077,Graduation,Engaged,77298.0,46,425.0,115.0,292.0,23.0,35.0,79.0,1,6,6,11,3,0,38,1765,0,1,969.0,24
7431,PhD,Alone,68126.0,40,1332.0,17.0,311.0,23.0,51.0,86.0,1,7,4,5,9,0,26,1888,4,0,1820.0,17
3267,Master,Engaged,57288.0,27,527.0,0.0,21.0,0.0,0.0,60.0,3,8,1,8,6,0,54,1266,4,1,608.0,20
999,Graduation,Alone,86037.0,95,490.0,44.0,125.0,29.0,20.0,22.0,1,6,7,11,3,0,26,1775,4,0,730.0,25
9215,PhD,Engaged,43974.0,19,378.0,0.0,101.0,0.0,0.0,72.0,5,6,4,6,7,0,37,1826,0,1,551.0,21
2286,Graduation,Alone,50785.0,27,64.0,1.0,21.0,0.0,1.0,27.0,2,2,1,3,6,0,55,1525,0,2,114.0,8
1592,Graduation,Engaged,90765.0,25,547.0,99.0,812.0,151.0,82.0,33.0,0,4,6,5,1,0,47,1418,1,0,1724.0,15
367,2n_Cycle,Engaged,36550.0,74,47.0,90.0,94.0,123.0,103.0,120.0,5,9,1,5,9,0,39,1757,0,1,577.0,20
5234,2n_Cycle,Engaged,30753.0,85,12.0,5.0,25.0,0.0,9.0,30.0,2,1,1,3,5,0,50,1496,0,2,81.0,7
9862,Graduation,Engaged,21918.0,37,1.0,6.0,7.0,11.0,5.0,3.0,2,2,0,3,6,0,48,1489,0,1,33.0,7
9805,Master,Engaged,56129.0,65,320.0,48.0,133.0,39.0,72.0,48.0,4,6,2,10,4,0,64,1636,0,1,660.0,22
6205,Master,Alone,32557.0,13,34.0,3.0,29.0,0.0,4.0,10.0,3,2,1,3,5,0,50,1387,6,1,80.0,9
8442,Master,Engaged,19510.0,63,9.0,0.0,7.0,3.0,4.0,7.0,2,1,0,3,7,0,32,1708,0,2,30.0,6
7386,Graduation,Alone,30992.0,83,17.0,0.0,14.0,7.0,3.0,2.0,1,1,0,3,7,0,41,1695,0,1,43.0,5
7215,Graduation,Alone,101970.0,69,722.0,27.0,102.0,44.0,72.0,168.0,0,6,8,13,2,0,34,1470,1,0,1135.0,27
1491,2n_Cycle,Engaged,71488.0,87,162.0,33.0,124.0,40.0,28.0,172.0,2,3,4,7,1,0,52,1758,0,0,559.0,16
11071,Graduation,Alone,79607.0,37,450.0,133.0,951.0,173.0,0.0,216.0,1,3,6,6,1,0,33,1696,6,0,1923.0,16
3381,Master,Engaged,54348.0,51,70.0,0.0,16.0,0.0,0.0,4.0,2,2,0,4,6,0,64,1224,0,2,90.0,8
8268,PhD,Engaged,55336.0,23,352.0,0.0,27.0,10.0,0.0,15.0,3,6,1,7,6,0,56,1496,0,1,404.0,17
11051,PhD,Engaged,77376.0,72,492.0,19.0,110.0,16.0,12.0,12.0,4,6,3,10,4,0,61,1164,0,2,661.0,23
8026,Graduation,Engaged,62998.0,10,120.0,58.0,73.0,65.0,89.0,58.0,5,5,4,5,5,0,65,1534,0,1,463.0,19
433,Master,Alone,61331.0,42,534.0,5.0,47.0,0.0,5.0,41.0,5,11,1,6,8,0,59,1531,0,2,632.0,23
9597,Graduation,Engaged,73448.0,10,236.0,106.0,189.0,23.0,41.0,130.0,1,7,2,9,4,0,48,1167,0,0,725.0,19
1295,Graduation,Engaged,52531.0,96,231.0,65.0,196.0,38.0,71.0,124.0,1,6,5,7,4,0,54,1495,0,1,725.0,19
5290,PhD,Engaged,41551.0,51,220.0,0.0,33.0,3.0,0.0,23.0,5,5,1,5,8,0,53,1581,0,2,279.0,16
1685,PhD,Engaged,62981.0,21,796.0,14.0,590.0,38.0,44.0,0.0,1,4,5,13,3,0,50,1731,4,0,1482.0,23
5342,Basic,Alone,9548.0,31,0.0,1.0,3.0,10.0,6.0,9.0,2,1,0,3,8,0,41,1952,0,1,29.0,6
9579,PhD,Engaged,33762.0,61,53.0,1.0,34.0,2.0,0.0,16.0,3,2,2,2,8,0,58,1619,0,3,106.0,9
7660,PhD,Alone,35860.0,37,15.0,0.0,8.0,4.0,2.0,20.0,2,1,1,2,5,0,44,1303,3,2,49.0,6
1461,PhD,Alone,36921.0,74,17.0,1.0,12.0,3.0,1.0,4.0,2,2,0,3,7,0,52,1598,0,2,38.0,7
821,Master,Alone,92859.0,46,962.0,61.0,921.0,52.0,61.0,20.0,1,5,4,12,2,0,25,1880,0,0,2077.0,22
11084,Master,Engaged,65104.0,4,738.0,0.0,232.0,13.0,20.0,50.0,2,3,5,7,7,0,41,1489,6,1,1053.0,17
8690,Graduation,Engaged,86111.0,73,399.0,28.0,756.0,36.0,40.0,126.0,1,5,7,10,2,0,55,1698,0,0,1385.0,23
2937,PhD,Alone,68352.0,47,614.0,16.0,132.0,43.0,33.0,33.0,3,8,5,9,6,0,43,1567,0,1,871.0,25
9701,Graduation,Engaged,41883.0,13,32.0,34.0,41.0,73.0,16.0,116.0,3,4,2,3,7,0,29,1729,0,1,312.0,12
9949,Graduation,Engaged,59809.0,36,598.0,16.0,141.0,32.0,41.0,49.0,3,3,3,6,8,0,41,1881,0,2,877.0,15
10837,Graduation,Engaged,23957.0,47,2.0,1.0,18.0,20.0,11.0,16.0,1,2,0,3,6,0,42,1871,6,1,68.0,6
3120,Graduation,Engaged,38547.0,49,6.0,1.0,10.0,0.0,1.0,4.0,1,1,0,2,8,1,36,1567,0,1,22.0,4
5885,2n_Cycle,Engaged,35688.0,94,73.0,3.0,90.0,12.0,1.0,32.0,7,4,1,4,8,0,44,1938,0,3,211.0,16
4050,Master,Engaged,49605.0,65,42.0,16.0,29.0,12.0,20.0,8.0,1,2,1,4,3,0,51,1270,0,0,127.0,8
3830,Master,Engaged,59354.0,59,295.0,21.0,78.0,39.0,13.0,13.0,1,4,4,7,3,0,64,1328,0,2,459.0,16
7987,Graduation,Engaged,65747.0,96,346.0,17.0,48.0,23.0,13.0,13.0,4,8,1,6,6,0,48,1258,4,1,460.0,19
7798,2n_Cycle,Engaged,46344.0,28,233.0,20.0,57.0,8.0,20.0,91.0,4,7,1,5,7,0,45,1824,0,1,429.0,17
92,Graduation,Alone,34176.0,12,5.0,7.0,24.0,19.0,14.0,20.0,4,3,0,4,6,0,29,1103,0,1,89.0,11
7055,PhD,Engaged,61010.0,57,888.0,0.0,57.0,0.0,0.0,76.0,2,8,5,11,5,0,65,1919,0,1,1021.0,26
10240,Graduation,Engaged,69372.0,10,997.0,26.0,269.0,34.0,13.0,42.0,1,10,4,6,4,0,68,1757,4,0,1381.0,21
3025,Graduation,Alone,49967.0,4,212.0,6.0,69.0,4.0,12.0,3.0,3,6,1,5,7,0,59,1588,0,1,306.0,15
9283,Graduation,Alone,60199.0,49,8.0,1.0,7.0,2.0,0.0,0.0,1,0,0,3,4,0,39,1464,0,3,18.0,4
9970,Graduation,Engaged,55375.0,3,42.0,11.0,57.0,10.0,28.0,14.0,1,1,1,6,2,0,40,1517,0,1,162.0,9
2730,Graduation,Alone,80317.0,64,536.0,11.0,387.0,149.0,91.0,57.0,1,3,4,10,1,0,62,1575,0,0,1231.0,18
2795,Master,Alone,30523.0,0,5.0,0.0,3.0,0.0,0.0,5.0,1,1,0,2,7,0,59,1800,0,3,13.0,4
9260,PhD,Engaged,70356.0,20,1349.0,16.0,249.0,43.0,16.0,33.0,2,10,6,9,6,0,72,2041,0,0,1706.0,27
8182,Graduation,Engaged,23228.0,91,53.0,3.0,49.0,7.0,4.0,5.0,4,3,0,4,8,0,33,1321,0,1,121.0,11
10095,PhD,Alone,74165.0,9,1001.0,12.0,240.0,16.0,12.0,12.0,1,5,4,10,2,0,42,1802,0,0,1293.0,20
8475,PhD,Engaged,157243.0,98,20.0,2.0,1582.0,1.0,2.0,1.0,15,0,22,0,0,0,44,1439,0,1,1608.0,37
4370,Graduation,Engaged,43482.0,83,18.0,1.0,32.0,6.0,3.0,28.0,3,2,0,4,6,0,51,1490,0,3,88.0,9
10573,Graduation,Alone,62551.0,27,125.0,16.0,98.0,134.0,21.0,27.0,1,6,7,4,3,0,64,1485,3,0,421.0,18
3712,Graduation,Alone,52332.0,63,212.0,5.0,33.0,7.0,0.0,2.0,1,3,2,6,4,0,58,1567,4,0,259.0,12
6637,Graduation,Alone,66951.0,46,277.0,162.0,305.0,173.0,76.0,124.0,1,3,4,7,1,0,29,1765,0,0,1117.0,15
3152,Graduation,Engaged,26091.0,84,15.0,10.0,19.0,8.0,17.0,20.0,3,2,1,3,5,0,60,1386,0,2,89.0,9
5610,Graduation,Engaged,33456.0,58,7.0,3.0,10.0,8.0,1.0,7.0,2,1,0,3,7,0,52,1331,0,2,36.0,6
6460,Graduation,Engaged,28718.0,78,12.0,4.0,6.0,11.0,8.0,16.0,2,2,0,3,8,0,35,1613,0,1,57.0,7
1349,Graduation,Engaged,50447.0,4,85.0,7.0,24.0,2.0,3.0,27.0,1,3,1,3,6,0,47,1331,0,2,148.0,8
1880,PhD,Engaged,53537.0,17,81.0,0.0,6.0,0.0,0.0,6.0,2,2,1,3,5,0,58,1412,0,2,93.0,8
641,Graduation,Alone,52074.0,77,59.0,0.0,12.0,0.0,0.0,48.0,1,2,2,2,4,0,50,1348,3,1,119.0,7
8717,PhD,Engaged,80427.0,56,1149.0,71.0,449.0,69.0,71.0,26.0,1,11,8,8,5,0,42,1829,0,1,1835.0,28
10314,PhD,Engaged,83837.0,79,847.0,66.0,119.0,86.0,89.0,111.0,1,9,10,5,4,0,69,1822,1,0,1318.0,25
10854,PhD,Engaged,38853.0,90,29.0,0.0,14.0,0.0,0.0,2.0,2,2,0,3,7,0,47,1299,0,2,45.0,7
10492,Graduation,Engaged,38285.0,96,2.0,0.0,5.0,2.0,0.0,1.0,1,0,0,3,2,0,58,1267,0,3,10.0,4
6935,2n_Cycle,Engaged,78497.0,44,207.0,26.0,447.0,75.0,0.0,223.0,1,5,7,12,2,0,66,1795,1,0,978.0,25
7698,PhD,Engaged,51650.0,81,152.0,3.0,22.0,2.0,5.0,7.0,1,4,1,4,5,0,41,1133,0,1,191.0,10
3559,2n_Cycle,Engaged,16248.0,77,12.0,11.0,10.0,3.0,12.0,9.0,3,2,1,3,6,0,29,1164,0,1,57.0,9
10562,Master,Engaged,66835.0,21,620.0,26.0,195.0,34.0,17.0,141.0,1,6,4,13,2,0,71,1536,0,0,1033.0,24
10796,Master,Engaged,30477.0,16,47.0,1.0,6.0,0.0,0.0,12.0,1,1,1,3,6,0,33,1420,0,1,66.0,6
2563,Basic,Engaged,28249.0,80,1.0,9.0,7.0,2.0,14.0,10.0,1,2,0,3,6,0,56,1276,0,0,43.0,6
3518,Graduation,Engaged,25271.0,45,10.0,1.0,18.0,10.0,4.0,7.0,1,1,1,2,9,0,34,2040,0,1,50.0,5
5823,PhD,Alone,32303.0,63,35.0,0.0,2.0,0.0,0.0,2.0,2,1,0,4,5,0,47,1227,0,1,39.0,7
3934,Graduation,Engaged,61286.0,34,356.0,0.0,107.0,19.0,9.0,117.0,2,7,1,8,5,0,51,1768,0,1,608.0,18
6982,Graduation,Engaged,74068.0,14,783.0,30.0,537.0,140.0,76.0,15.0,1,4,10,9,2,0,41,1729,0,0,1581.0,24
6431,PhD,Engaged,45759.0,13,42.0,1.0,18.0,3.0,0.0,4.0,2,2,0,3,7,0,53,1753,0,2,68.0,7
9733,Basic,Engaged,24882.0,52,1.0,4.0,10.0,29.0,0.0,36.0,1,1,1,2,6,0,39,1920,3,1,80.0,5
5602,PhD,Engaged,66973.0,98,466.0,22.0,432.0,147.0,113.0,102.0,1,8,7,12,3,0,28,1670,0,0,1282.0,28
7829,2n_Cycle,Alone,36640.0,99,15.0,6.0,8.0,7.0,4.0,25.0,1,2,1,2,5,1,27,1538,0,1,65.0,6
